order=1
epoch#,correct,incorrect,error_rate
0,47,28,0.373333
1,46,29,0.386667
2,46,29,0.386667
3,46,29,0.386667
4,46,29,0.386667
5,46,29,0.386667
6,46,29,0.386667
7,46,29,0.386667
8,46,29,0.386667
9,46,29,0.386667
10,46,29,0.386667
11,46,29,0.386667
12,46,29,0.386667
13,46,29,0.386667
14,46,29,0.386667
15,46,29,0.386667
16,46,29,0.386667
17,46,29,0.386667
18,46,29,0.386667
19,46,29,0.386667
20,46,29,0.386667
21,46,29,0.386667
22,46,29,0.386667
23,46,29,0.386667
24,46,29,0.386667
25,46,29,0.386667
26,46,29,0.386667
27,46,29,0.386667
28,46,29,0.386667
29,46,29,0.386667
30,46,29,0.386667
31,46,29,0.386667
32,46,29,0.386667
33,46,29,0.386667
34,46,29,0.386667
35,46,29,0.386667
36,46,29,0.386667
37,46,29,0.386667
38,46,29,0.386667
39,46,29,0.386667
40,46,29,0.386667
41,46,29,0.386667
42,46,29,0.386667
43,46,29,0.386667
44,46,29,0.386667
45,46,29,0.386667
46,46,29,0.386667
47,46,29,0.386667
48,46,29,0.386667
49,46,29,0.386667
order=2
epoch#,correct,incorrect,error_rate
0,46,29,0.386667
1,48,27,0.36
2,49,26,0.346667
3,58,17,0.226667
4,42,33,0.44
5,58,17,0.226667
6,57,18,0.24
7,61,14,0.186667
8,61,14,0.186667
9,60,15,0.2
10,60,15,0.2
11,56,19,0.253333
12,61,14,0.186667
13,58,17,0.226667
14,60,15,0.2
15,61,14,0.186667
16,60,15,0.2
17,58,17,0.226667
18,61,14,0.186667
19,63,12,0.16
20,64,11,0.146667
21,62,13,0.173333
22,64,11,0.146667
23,60,15,0.2
24,63,12,0.16
25,58,17,0.226667
26,58,17,0.226667
27,61,14,0.186667
28,59,16,0.213333
29,59,16,0.213333
30,59,16,0.213333
31,59,16,0.213333
32,60,15,0.2
33,45,30,0.4
34,53,22,0.293333
35,60,15,0.2
36,45,30,0.4
37,59,16,0.213333
38,48,27,0.36
39,53,22,0.293333
40,61,14,0.186667
41,50,25,0.333333
42,57,18,0.24
43,50,25,0.333333
44,48,27,0.36
45,53,22,0.293333
46,46,29,0.386667
47,52,23,0.306667
48,48,27,0.36
49,55,20,0.266667
order=3
epoch#,correct,incorrect,error_rate
0,44,31,0.413333
1,63,12,0.16
2,56,19,0.253333
3,68,7,0.0933333
4,72,3,0.04
5,70,5,0.0666667
6,70,5,0.0666667
7,68,7,0.0933333
