order=1
epoch#,correct,incorrect,error_rate
8,71,4,0.0533333
9,71,4,0.0533333
10,59,16,0.213333
11,71,4,0.0533333
12,74,1,0.0133333
13,70,5,0.0666667
14,72,3,0.04
15,74,1,0.0133333
16,71,4,0.0533333
17,69,6,0.08
18,71,4,0.0533333
19,71,4,0.0533333
20,64,11,0.146667
21,72,3,0.04
22,64,11,0.146667
23,71,4,0.0533333
24,73,2,0.0266667
25,70,5,0.0666667
26,71,4,0.0533333
27,70,5,0.0666667
28,70,5,0.0666667
29,71,4,0.0533333
30,72,3,0.04
31,71,4,0.0533333
32,71,4,0.0533333
33,70,5,0.0666667
34,72,3,0.04
35,70,5,0.0666667
36,71,4,0.0533333
37,71,4,0.0533333
38,70,5,0.0666667
39,72,3,0.04
40,71,4,0.0533333
41,67,8,0.106667
42,72,3,0.04
43,71,4,0.0533333
44,71,4,0.0533333
45,71,4,0.0533333
46,70,5,0.0666667
47,71,4,0.0533333
48,71,4,0.0533333
49,71,4,0.0533333
order=4
epoch#,correct,incorrect,error_rate
0,46,29,0.386667
1,49,26,0.346667
2,67,8,0.106667
3,58,17,0.226667
4,65,10,0.133333
5,67,8,0.106667
6,69,6,0.08
7,71,4,0.0533333
8,69,6,0.08
9,71,4,0.0533333
10,70,5,0.0666667
11,69,6,0.08
12,70,5,0.0666667
13,71,4,0.0533333
14,70,5,0.0666667
15,70,5,0.0666667
16,71,4,0.0533333
17,72,3,0.04
18,72,3,0.04
19,72,3,0.04
20,72,3,0.04
21,71,4,0.0533333
22,71,4,0.0533333
23,70,5,0.0666667
24,69,6,0.08
25,72,3,0.04
26,71,4,0.0533333
27,73,2,0.0266667
28,71,4,0.0533333
29,71,4,0.0533333
30,72,3,0.04
31,71,4,0.0533333
32,72,3,0.04
33,72,3,0.04
34,72,3,0.04
35,73,2,0.0266667
36,71,4,0.0533333
37,71,4,0.0533333
38,72,3,0.04
39,73,2,0.0266667
40,70,5,0.0666667
41,72,3,0.04
42,73,2,0.0266667
43,70,5,0.0666667
44,72,3,0.04
45,72,3,0.04
46,70,5,0.0666667
47,70,5,0.0666667
48,71,4,0.0533333
49,72,3,0.04
order=5
epoch#,correct,incorrect,error_rate
0,58,17,0.226667
1,48,27,0.36
2,64,11,0.146667
3,54,21,0.28
4,49,26,0.346667
5,58,17,0.226667
6,68,7,0.0933333
7,58,17,0.226667
8,69,6,0.08
9,73,2,0.0266667
10,67,8,0.106667
11,71,4,0.0533333
12,66,9,0.12
13,72,3,0.04
14,72,3,0.04
15,72,3,0.04
16,68,7,0.0933333
17,65,10,0.133333
18,67,8,0.106667
19,72,3,0.04
20,67,8,0.106667
21,72,3,0.04
22,69,6,0.08
23,67,8,0.106667
24,70,5,0.0666667
25,68,7,0.0933333
26,71,4,0.0533333
27,68,7,0.0933333
28,71,4,0.0533333
29,72,3,0.04
30,70,5,0.0666667
31,72,3,0.04
32,71,4,0.0533333
33,71,4,0.0533333
34,68,7,0.0933333
35,71,4,0.0533333
36,69,6,0.08
37,72,3,0.04
38,72,3,0.04
39,72,3,0.04
40,72,3,0.04
41,72,3,0.04
42,72,3,0.04
43,72,3,0.04
44,72,3,0.04
45,71,4,0.0533333
46,71,4,0.0533333
47,71,4,0.0533333
48,71,4,0.0533333
49,71,4,0.0533333
