order=1
epoch#,correct,incorrect,error_rate
0,37,38,0.506667
1,55,20,0.266667
2,39,36,0.48
3,44,31,0.413333
4,58,17,0.226667
5,39,36,0.48
6,36,39,0.52
7,36,39,0.52
8,51,24,0.32
9,44,31,0.413333
10,58,17,0.226667
11,43,32,0.426667
12,39,36,0.48
13,47,28,0.373333
14,45,30,0.4
15,33,42,0.56
16,37,38,0.506667
17,32,43,0.573333
18,38,37,0.493333
19,35,40,0.533333
20,46,29,0.386667
21,38,37,0.493333
22,49,26,0.346667
23,47,28,0.373333
24,42,33,0.44
25,57,18,0.24
26,45,30,0.4
27,46,29,0.386667
28,60,15,0.2
29,47,28,0.373333
order=2
epoch#,correct,incorrect,error_rate
0,51,24,0.32
1,50,25,0.333333
2,56,19,0.253333
3,59,16,0.213333
4,60,15,0.2
5,62,13,0.173333
6,51,24,0.32
7,62,13,0.173333
8,63,12,0.16
9,65,10,0.133333
10,64,11,0.146667
11,63,12,0.16
12,65,10,0.133333
13,65,10,0.133333
14,65,10,0.133333
15,65,10,0.133333
16,62,13,0.173333
17,64,11,0.146667
18,62,13,0.173333
19,68,7,0.0933333
20,69,6,0.08
21,69,6,0.08
22,69,6,0.08
23,70,5,0.0666667
24,70,5,0.0666667
25,69,6,0.08
26,69,6,0.08
27,69,6,0.08
28,69,6,0.08
29,69,6,0.08
order=3
epoch#,correct,incorrect,error_rate
0,37,38,0.506667
1,45,30,0.4
2,49,26,0.346667
3,48,27,0.36
4,51,24,0.32
5,51,24,0.32
6,52,23,0.306667
7,60,15,0.2
8,60,15,0.2
9,60,15,0.2
10,60,15,0.2
11,61,14,0.186667
12,60,15,0.2
13,62,13,0.173333
14,62,13,0.173333
15,62,13,0.173333
16,62,13,0.173333
17,63,12,0.16
18,63,12,0.16
19,63,12,0.16
20,63,12,0.16
21,61,14,0.186667
22,62,13,0.173333
23,62,13,0.173333
24,62,13,0.173333
25,62,13,0.173333
26,62,13,0.173333
27,62,13,0.173333
28,63,12,0.16
29,63,12,0.16
order=4
epoch#,correct,incorrect,error_rate
0,22,53,0.706667
1,22,53,0.706667
2,22,53,0.706667
3,22,53,0.706667
4,22,53,0.706667
5,22,53,0.706667
6,22,53,0.706667
7,22,53,0.706667
8,22,53,0.706667
9,22,53,0.706667
10,22,53,0.706667
11,22,53,0.706667
12,22,53,0.706667
13,22,53,0.706667
14,22,53,0.706667
15,22,53,0.706667
16,22,53,0.706667
17,22,53,0.706667
18,22,53,0.706667
19,22,53,0.706667
20,22,53,0.706667
21,22,53,0.706667
22,22,53,0.706667
23,22,53,0.706667
24,22,53,0.706667
25,22,53,0.706667
26,22,53,0.706667
27,22,53,0.706667
28,22,53,0.706667
29,22,53,0.706667
order=5
epoch#,correct,incorrect,error_rate
0,22,53,0.706667
1,22,53,0.706667
2,22,53,0.706667
3,22,53,0.706667
4,22,53,0.706667
5,22,53,0.706667
6,22,53,0.706667
7,22,53,0.706667
8,22,53,0.706667
9,22,53,0.706667
10,22,53,0.706667
11,22,53,0.706667
12,22,53,0.706667
13,22,53,0.706667
14,22,53,0.706667
15,22,53,0.706667
16,22,53,0.706667
17,22,53,0.706667
18,22,53,0.706667
19,22,53,0.706667
20,22,53,0.706667
21,22,53,0.706667
22,22,53,0.706667
23,22,53,0.706667
24,22,53,0.706667
25,22,53,0.706667
26,22,53,0.706667
27,22,53,0.706667
28,22,53,0.706667
29,22,53,0.706667
