TESTING:data/haberman.txt
NN=1
(random)
ratio,,TP,FN,FP,TN
1.9887640449438202,,86,92,63,291
1.8876404494382022,,92,86,75,261
1.7865168539325842,,89,89,68,250
1.6853932584269662,,89,89,71,229
1.5842696629213484,,110,68,89,193
1.4831460674157304,,90,88,56,208
1.3820224719101124,,111,67,80,166
1.2808988764044944,,108,70,73,155
1.1797752808988764,,105,73,70,140
1.0786516853932584,,111,67,69,123
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
3.202247191011236,0,63,115,57,513
3.702247191011236,10,61,117,59,505
3.646067415730337,20,66,112,56,501
3.848314606741573,30,64,114,59,491
3.8876404494382024,40,82,96,98,447
3.9157303370786516,50,69,109,60,480
3.859550561797753,60,68,110,55,483
3.803370786516854,70,69,109,55,477
3.747191011235955,80,71,107,59,466
3.691011235955056,90,78,100,89,434
3.634831460674157,100,64,114,56,464
3.5786516853932584,110,63,115,55,460
3.5224719101123596,120,82,96,90,418
3.466292134831461,130,75,103,79,422
3.4101123595505616,140,74,104,60,435
3.353932584269663,150,82,96,71,419
3.297752808988764,160,72,106,57,427
3.241573033707865,170,84,94,84,395
3.1853932584269664,180,84,94,83,390
3.1292134831460676,190,84,94,83,390
3.0730337078651684,200,84,94,83,390
3.0168539325842696,210,84,94,83,390
NN=5
(random)
ratio,,TP,FN,FP,TN
3.202247191011236,,56,122,45,525
3.101123595505618,,54,124,43,509
3,,57,121,45,489
2.898876404494382,,52,126,39,477
2.797752808988764,,68,110,69,429
2.696629213483146,,61,117,47,433
2.595505617977528,,56,122,44,418
2.49438202247191,,66,112,59,385
2.393258426966292,,72,106,62,364
2.292134831460674,,70,108,62,346
2.191011235955056,,79,99,66,324
2.0898876404494384,,77,101,61,311
1.9887640449438202,,80,98,70,284
1.8876404494382022,,83,95,66,270
1.7865168539325842,,83,95,64,254
1.6853932584269662,,85,93,63,237
1.5842696629213484,,95,83,74,208
1.4831460674157304,,95,83,67,197
1.3820224719101124,,97,81,65,181
1.2808988764044944,,105,73,66,162
1.1797752808988764,,104,74,67,143
1.0786516853932584,,111,67,66,126
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
3.202247191011236,0,52,126,40,530
4.146067415730337,10,54,124,41,522
4.089887640449438,20,62,116,72,485
4.033707865168539,30,61,117,69,481
3.9775280898876404,40,53,125,43,500
3.9213483146067416,50,60,118,52,482
3.865168539325843,60,54,124,47,482
3.808988764044944,70,57,121,49,477
3.752808988764045,80,58,120,51,468
3.696629213483146,90,70,108,78,437
3.640449438202247,100,63,115,73,440
3.5842696629213484,110,62,116,54,453
3.5280898876404496,120,68,110,58,444
3.4719101123595504,130,59,119,47,448
3.4157303370786516,140,58,120,48,442
3.359550561797753,150,55,123,48,438
3.303370786516854,160,67,111,72,405
3.247191011235955,170,55,123,46,423
3.191011235955056,180,66,112,74,388
3.134831460674157,190,64,114,53,406
3.0786516853932584,200,64,114,53,406
3.0224719101123596,210,64,114,53,406
NN=7
(random)
ratio,,TP,FN,FP,TN
3.202247191011236,,51,127,43,527
3.101123595505618,,52,126,47,505
3,,61,117,70,464
2.898876404494382,,59,119,52,464
2.797752808988764,,57,121,49,449
2.696629213483146,,61,117,53,427
2.595505617977528,,61,117,50,412
2.49438202247191,,69,109,72,372
2.393258426966292,,69,109,75,351
2.292134831460674,,62,116,57,351
2.191011235955056,,82,96,96,294
2.0898876404494384,,62,116,54,318
1.9887640449438202,,71,107,51,303
1.8876404494382022,,80,98,72,264
1.7865168539325842,,80,98,76,242
1.6853932584269662,,80,98,62,238
1.5842696629213484,,87,91,72,210
1.4831460674157304,,97,81,77,187
1.3820224719101124,,99,79,71,175
1.2808988764044944,,95,83,64,164
1.1797752808988764,,111,67,75,135
1.0786516853932584,,112,66,70,122
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
3.202247191011236,0,54,124,47,523
4.00561797752809,10,53,125,43,520
4.01123595505618,20,56,122,44,515
3.955056179775281,30,50,128,37,517
3.898876404494382,40,54,124,43,503
3.842696629213483,50,50,128,40,497
3.7865168539325844,60,49,129,38,492
3.730337078651685,70,53,125,43,482
3.6741573033707864,80,62,116,47,472
3.6179775280898876,90,58,120,45,469
3.561797752808989,100,60,118,42,469
3.50561797752809,110,67,111,66,440
3.449438202247191,120,58,120,43,456
3.393258426966292,130,65,113,49,445
3.337078651685393,140,65,113,46,442
3.2808988764044944,150,62,116,47,432
3.2247191011235956,160,79,99,73,399
3.168539325842697,170,72,106,65,399
3.1123595505617976,180,82,96,73,387
3.056179775280899,190,66,112,43,416
3,200,66,112,43,416
2.943820224719101,210,66,112,43,416
